seq,key,time,price,size,sequence,bid,ask,last,bidSize,askSize,lastSize,quoteTime,tradeTime,level,bidIncr,askIncr,TimeDate,TradeDate,QuoteDate
12418,QQQ,1603321084758,284.96,20,126267,284.91,284.96,0,0,0,0,0,0,4,0,0,10/21/2020 10:58:04 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12419,QQQ,1603321086545,284.95,6,126268,284.93,284.97,0,0,0,0,0,0,3,0,0,10/21/2020 10:58:06 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12420,QQQ,1603321086545,284.95,6,126269,284.93,284.97,0,0,0,0,0,0,3,0,0,10/21/2020 10:58:06 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12421,QQQ,1603321086545,284.95,7,126270,284.93,284.97,0,0,0,0,0,0,3,0,0,10/21/2020 10:58:06 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12422,QQQ,1603321086545,284.95,6,126271,284.93,284.97,0,0,0,0,0,0,3,0,0,10/21/2020 10:58:06 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12423,QQQ,1603321086545,284.95,14,126272,284.93,284.97,0,0,0,0,0,0,3,0,0,10/21/2020 10:58:06 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12424,QQQ,1603321100723,284.96,200,126273,284.96,0,0,0,0,0,0,0,0,0,0,10/21/2020 10:58:20 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12425,QQQ,1603321100723,284.96,200,126274,284.96,0,0,0,0,0,0,0,0,0,0,10/21/2020 10:58:20 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12426,QQQ,1603321106982,284.98,200,126275,284.96,0,0,0,0,0,0,0,0,0,0,10/21/2020 10:58:26 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12427,QQQ,1603321106982,284.98,200,126276,284.96,0,0,0,0,0,0,0,0,0,0,10/21/2020 10:58:26 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
12428,QQQ,1603321112814,285.019,100,126277,285.01,0,0,0,0,0,0,0,0,0,0,10/21/2020 10:58:32 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
