seq,key,time,price,size,sequence,bid,ask,last,bidSize,askSize,lastSize,quoteTime,tradeTime,level,bidIncr,askIncr
3337,SPY,1601060064591,327.74,100,192272,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3338,SPY,1601060065037,327.735,100,192273,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3339,SPY,1601060065037,327.735,100,192274,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3340,SPY,1601060065037,327.735,100,192275,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3341,SPY,1601060065037,327.735,100,192276,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3342,SPY,1601060065037,327.735,200,192277,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3343,SPY,1601060065037,327.735,100,192278,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3344,SPY,1601060065037,327.74,100,192279,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3345,SPY,1601060065037,327.74,100,192280,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3346,SPY,1601060065037,327.75,100,192281,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3347,SPY,1601060065037,327.75,200,192282,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3348,SPY,1601060065037,327.76,100,192283,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3349,SPY,1601060065037,327.76,200,192284,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3350,SPY,1601060065037,327.76,300,192285,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3351,SPY,1601060065037,327.74,100,192286,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3352,SPY,1601060065037,327.74,100,192287,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3353,SPY,1601060065037,327.75,100,192288,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3354,SPY,1601060065037,327.75,100,192289,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3355,SPY,1601060065037,327.75,200,192290,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3356,SPY,1601060065037,327.75,100,192291,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3357,SPY,1601060065037,327.75,100,192292,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3358,SPY,1601060065037,327.75,100,192293,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3359,SPY,1601060065037,327.75,100,192294,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3360,SPY,1601060065037,327.77,100,192295,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3361,SPY,1601060065037,327.76,100,192296,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3362,SPY,1601060065038,327.76,100,192297,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3363,SPY,1601060065038,327.76,300,192298,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3364,SPY,1601060065038,327.74,100,192299,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3365,SPY,1601060065038,327.75,100,192300,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3366,SPY,1601060065038,327.74,100,192301,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3367,SPY,1601060065042,327.77,100,192302,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3368,SPY,1601060065042,327.77,200,192303,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3369,SPY,1601060065042,327.76,100,192304,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3370,SPY,1601060065042,327.76,100,192305,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3371,SPY,1601060065042,327.78,100,192306,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3372,SPY,1601060065042,327.77,200,192307,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3373,SPY,1601060065042,327.77,100,192308,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3374,SPY,1601060065043,327.78,100,192309,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3375,SPY,1601060065044,327.79,100,192310,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3376,SPY,1601060065045,327.78,300,192311,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3377,SPY,1601060065045,327.78,100,192312,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3378,SPY,1601060065045,327.79,100,192313,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3379,SPY,1601060065045,327.79,100,192314,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3380,SPY,1601060065045,327.79,100,192315,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3381,SPY,1601060065046,327.79,300,192316,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3382,SPY,1601060065046,327.79,100,192317,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3383,SPY,1601060065046,327.79,100,192318,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3384,SPY,1601060065046,327.79,300,192319,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3385,SPY,1601060065047,327.8,100,192320,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3386,SPY,1601060065047,327.8,100,192321,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3387,SPY,1601060065047,327.8,500,192322,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3388,SPY,1601060065047,327.8,125,192323,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3389,SPY,1601060065047,327.8,100,192324,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3390,SPY,1601060065048,327.8,500,192325,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3391,SPY,1601060065048,327.8,100,192326,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3392,SPY,1601060065051,327.82,100,192327,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3393,SPY,1601060065051,327.82,100,192328,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3394,SPY,1601060065052,327.83,100,192329,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3395,SPY,1601060065053,327.83,100,192330,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3396,SPY,1601060065053,327.83,100,192331,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3397,SPY,1601060065056,327.83,100,192332,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3398,SPY,1601060065056,327.83,100,192333,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3399,SPY,1601060065057,327.82,100,192334,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3400,SPY,1601060065059,327.83,131,192335,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3401,SPY,1601060065060,327.83,100,192336,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3402,SPY,1601060065060,327.83,200,192337,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3403,SPY,1601060065060,327.83,400,192338,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3404,SPY,1601060065060,327.83,100,192339,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3405,SPY,1601060065060,327.83,100,192340,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3406,SPY,1601060065061,327.83,100,192341,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3407,SPY,1601060065061,327.83,100,192342,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3408,SPY,1601060065062,327.83,100,192343,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3409,SPY,1601060065062,327.83,100,192344,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3410,SPY,1601060065062,327.83,100,192345,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3411,SPY,1601060065067,327.83,100,192346,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3412,SPY,1601060065067,327.83,100,192347,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3413,SPY,1601060065067,327.83,400,192348,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3414,SPY,1601060065067,327.83,100,192349,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3415,SPY,1601060065067,327.84,110,192350,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3416,SPY,1601060065067,327.83,100,192351,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3417,SPY,1601060065070,327.83,200,192352,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3418,SPY,1601060065074,327.82,200,192353,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3419,SPY,1601060065075,327.819,150,192354,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3420,SPY,1601060065103,327.81,100,192355,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3421,SPY,1601060065103,327.81,100,192356,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3422,SPY,1601060065105,327.8175,100,192357,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3423,SPY,1601060065107,327.82,100,192358,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3424,SPY,1601060065118,327.82,100,192359,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3425,SPY,1601060065158,327.83,700,192360,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3426,SPY,1601060065173,327.82,279,192361,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3427,SPY,1601060065173,327.83,904,192362,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3428,SPY,1601060065173,327.84,334,192363,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3429,SPY,1601060065173,327.85,246,192364,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3430,SPY,1601060065173,327.82,200,192365,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3431,SPY,1601060065173,327.82,200,192366,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3432,SPY,1601060065173,327.83,200,192367,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3433,SPY,1601060065173,327.82,100,192368,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3434,SPY,1601060065173,327.82,100,192369,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3435,SPY,1601060065173,327.82,200,192370,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3436,SPY,1601060065173,327.82,100,192371,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3437,SPY,1601060065173,327.82,200,192372,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3438,SPY,1601060065173,327.82,184,192373,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3439,SPY,1601060065173,327.82,100,192374,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3440,SPY,1601060065173,327.82,100,192375,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3441,SPY,1601060065173,327.82,100,192376,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3442,SPY,1601060065173,327.82,100,192377,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3443,SPY,1601060065173,327.82,200,192378,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3444,SPY,1601060065173,327.83,153,192379,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3445,SPY,1601060065173,327.82,100,192380,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3446,SPY,1601060065173,327.83,100,192381,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3447,SPY,1601060065173,327.83,162,192382,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3448,SPY,1601060065173,327.83,112,192383,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3449,SPY,1601060065173,327.83,165,192384,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3450,SPY,1601060065173,327.82,200,192385,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3451,SPY,1601060065173,327.82,300,192386,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3452,SPY,1601060065173,327.82,200,192387,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3453,SPY,1601060065173,327.82,100,192388,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3454,SPY,1601060065173,327.82,100,192389,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3455,SPY,1601060065173,327.84,448,192390,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3456,SPY,1601060065173,327.82,100,192391,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3457,SPY,1601060065173,327.82,119,192392,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3458,SPY,1601060065173,327.82,100,192393,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3459,SPY,1601060065173,327.82,100,192394,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3460,SPY,1601060065173,327.82,100,192395,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3461,SPY,1601060065173,327.82,100,192396,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3462,SPY,1601060065174,327.77,100,192397,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3463,SPY,1601060065174,327.81,250,192398,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3464,SPY,1601060065174,327.82,100,192399,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3465,SPY,1601060065174,327.82,100,192400,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3466,SPY,1601060065176,327.82,100,192401,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3467,SPY,1601060065177,327.82,100,192402,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3468,SPY,1601060065177,327.82,100,192403,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3469,SPY,1601060065186,327.82,100,192404,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3470,SPY,1601060065218,327.83,200,192405,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3471,SPY,1601060065246,327.828,100,192406,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3472,SPY,1601060065328,327.81,100,192407,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3473,SPY,1601060065329,327.81,100,192408,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3474,SPY,1601060065330,327.81,100,192409,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3475,SPY,1601060065331,327.81,100,192410,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3476,SPY,1601060065377,327.81,100,192411,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3477,SPY,1601060065378,327.81,100,192412,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3478,SPY,1601060065397,327.82,100,192413,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3479,SPY,1601060065397,327.82,100,192414,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3480,SPY,1601060065397,327.82,100,192415,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3481,SPY,1601060065397,327.82,200,192416,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3482,SPY,1601060065397,327.82,100,192417,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3483,SPY,1601060065397,327.82,100,192418,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3484,SPY,1601060065397,327.82,100,192419,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3485,SPY,1601060065397,327.82,110,192420,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3486,SPY,1601060065402,327.81,100,192421,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3487,SPY,1601060065414,327.8101,493,192422,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3488,SPY,1601060065429,327.81,100,192423,327.72,327.73,327.725,100,400,300,1601060064341,1601060064188,5,0,0
3489,SPY,1601060065505,327.815,100,192424,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,2,0,0.08999634
3490,SPY,1601060065592,327.815,100,192425,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,2,0,0
3491,SPY,1601060065664,327.815,100,192426,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,2,0,0
3492,SPY,1601060065837,327.81,168,192427,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,2,0,0
3493,SPY,1601060065952,327.82,380,192428,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,4,0,0
3494,SPY,1601060065952,327.82,200,192429,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,4,0,0
3495,SPY,1601060065952,327.82,198,192430,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,4,0,0
3496,SPY,1601060065993,327.81,100,192431,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,2,0,0
3497,SPY,1601060066303,327.815,100,192432,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,2,0,0
3498,SPY,1601060066342,327.815,100,192433,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,2,0,0
3499,SPY,1601060066342,327.815,100,192434,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,2,0,0
3500,SPY,1601060066390,327.82,100,192435,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,4,0,0
3501,SPY,1601060066421,327.81,100,192436,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,2,0,0
3502,SPY,1601060066476,327.8175,100,192437,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,2,0,0
3503,SPY,1601060066685,327.82,100,192438,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,4,0,0
3504,SPY,1601060066718,327.81,146,192439,327.81,327.82,327.81,2100,300,100,1601060066270,1601060065993,2,0,0
3505,SPY,1601060067407,327.815,100,192440,327.81,327.82,327.81,300,400,100,1601060067204,1601060066718,2,0,0
3506,SPY,1601060067472,327.815,100,192441,327.81,327.82,327.81,300,400,100,1601060067204,1601060066718,2,0,0
3507,SPY,1601060067472,327.81,100,192442,327.81,327.82,327.81,300,400,100,1601060067204,1601060066718,2,0,0
3508,SPY,1601060067823,327.805,100,192443,327.81,327.82,327.81,300,400,100,1601060067204,1601060066718,1,0,0
3509,SPY,1601060068117,327.8,100,192444,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,4,0.019989014,0
3510,SPY,1601060068118,327.79,100,192445,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,2,0,0
3511,SPY,1601060068118,327.79,100,192446,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,2,0,0
3512,SPY,1601060068118,327.79,100,192447,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,2,0,0
3513,SPY,1601060068118,327.79,100,192448,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,2,0,0
3514,SPY,1601060068120,327.79,100,192449,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,2,0,0
3515,SPY,1601060068120,327.79,100,192450,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,2,0,0
3516,SPY,1601060068121,327.79,100,192451,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,2,0,0
3517,SPY,1601060068576,327.785,200,192452,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,1,0,0
3518,SPY,1601060068723,327.795,100,192453,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,2,0,0
3519,SPY,1601060068725,327.795,100,192454,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,2,0,0
3520,SPY,1601060068883,327.8,100,192455,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,4,0,0
3521,SPY,1601060068883,327.8,200,192456,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,4,0,0
3522,SPY,1601060068883,327.8,100,192457,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,4,0,0
3523,SPY,1601060068911,327.805,100,192458,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,5,0,0
3524,SPY,1601060068911,327.805,100,192459,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,5,0,0
3525,SPY,1601060068911,327.805,107,192460,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,5,0,0
3526,SPY,1601060068911,327.81,100,192461,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,5,0,0
3527,SPY,1601060068911,327.81,200,192462,327.79,327.8,327.785,900,300,200,1601060068588,1601060068576,5,0,0
3528,SPY,1601060068936,327.81,100,192463,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,2,0,0.020019531
3529,SPY,1601060068940,327.815,100,192464,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,2,0,0
3530,SPY,1601060068966,327.815,100,192465,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,2,0,0
3531,SPY,1601060069229,327.81,200,192466,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,2,0,0
3532,SPY,1601060069256,327.815,100,192467,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,2,0,0
3533,SPY,1601060069284,327.815,100,192468,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,2,0,0
3534,SPY,1601060069311,327.815,100,192469,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,2,0,0
3535,SPY,1601060069326,327.815,100,192470,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,2,0,0
3536,SPY,1601060069431,327.81,100,192471,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,2,0,0
3537,SPY,1601060069540,327.815,100,192472,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,2,0,0
3538,SPY,1601060069541,327.815,100,192473,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,2,0,0
3539,SPY,1601060069632,327.815,805,192474,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,2,0,0
3540,SPY,1601060069632,327.815,595,192475,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,2,0,0
3541,SPY,1601060069632,327.82,100,192476,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,4,0,0
3542,SPY,1601060069633,327.82,100,192477,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,4,0,0
3543,SPY,1601060069633,327.82,100,192478,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,4,0,0
3544,SPY,1601060069633,327.82,100,192479,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,4,0,0
3545,SPY,1601060069633,327.83,300,192480,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,5,0,0
3546,SPY,1601060069633,327.82,100,192481,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,4,0,0
3547,SPY,1601060069633,327.82,100,192482,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,4,0,0
3548,SPY,1601060069633,327.84,349,192483,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,5,0,0
3549,SPY,1601060069633,327.82,100,192484,327.81,327.82,327.815,900,900,100,1601060069282,1601060069541,4,0,0
